n,문장,Intent,Status,Activity,Date,주기,매칭,함정
1,오늘 이불 빨았어,기록,완료,이불 빨래,0,,item-1,
2,어제 정수기 필터 갈았어,기록,완료,정수기 필터 교체,1,,item-2,
3,지난 토요일에 에어컨 청소했어,기록,완료,에어컨 청소,지난 토요일,,item-4,
4,그저께 화장실 청소했다,기록,완료,화장실 청소,2,,item-5,
5,오늘 아침 설거지 끝냈어,기록,완료,설거지,0,,item-3,
6,이틀 전에 커튼 빨아놨어,기록,완료,커튼 빨래,2,,item-6,
7,오늘 쓰레기 버렸어,기록,완료,쓰레기 버리기,0,,item-7,
8,어제 청소기 돌렸어,기록,완료,청소기 돌리기,1,,item-8,
9,오늘 강아지 목욕시켰어,기록,완료,강아지 목욕,0,,item-9,
10,지난주에 세탁기 청소했어,기록,완료,세탁기 청소,7,,item-10,
11,오늘 이불은 안 건드리고 베개만 빨았어,기록,완료,베개 빨래,0,,item-12,O
12,필터는 그대로 두고 물통만 갈았어,기록,완료,물통 교체,0,,item-14,O
13,청소는 내일로 미루고 설거지만 했어,기록,완료,설거지,0,,item-3,O
14,빨래는 나중에 하고 분리수거만 끝냈어,기록,완료,분리수거,0,,item-11,O
15,창문은 안 닦고 바닥만 닦았어,기록,완료,바닥 청소,0,,item-13,O
16,내일 이불 빨 거야,기록,미래,이불 빨래,-1,,item-1,
17,주말에 필터 바꿀 예정이야,기록,미래,필터 교체,,,,
18,모레 에어컨 청소하려고,기록,미래,에어컨 청소,-2,,item-4,
19,오늘 저녁에 설거지할게,기록,미래,설거지,0,,item-3,
20,이따가 쓰레기 버릴게,기록,미래,쓰레기 버리기,0,,item-7,
21,다음 주에 커튼 빨 거야,기록,미래,커튼 빨래,-7,,item-6,
22,내일 아침 청소기 돌릴 예정이야,기록,미래,청소기 돌리기,-1,,item-8,
23,주말에 강아지 목욕시킬게,기록,미래,강아지 목욕,,,item-9,
24,오늘 밤 화장실 청소하려고,기록,미래,화장실 청소,0,,item-5,
25,다음에 세탁기 청소할 거야,기록,미래,세탁기 청소,,,item-10,
26,어제 하려고 했는데 내일 이불 빨 거야,기록,미래,이불 빨래,-1,,item-1,O
27,필터는 아직이고 주말에 갈 예정이야,기록,미래,필터 교체,,,,O
28,청소는 못 했고 내일 하려고,기록,미래,청소,-1,,,O
29,설거지는 안 했고 이따가 할게,기록,미래,설거지,0,,item-3,O
